27.00;46.85;28.03;53.15;28.03
27.10;50.45;28.36;49.55;28.36
27.20;54.05;27.94;45.95;27.94
27.30;57.65;28.53;42.35;28.53
27.40;61.25;28.02;38.75;28.02
27.50;57.85;34.10;42.15;34.10
27.60;54.45;31.64;45.55;31.64
27.70;51.05;34.63;48.95;34.63
27.80;47.65;34.49;52.35;34.49
27.90;44.25;37.60;55.75;37.60
28.00;48.50;39.75;51.50;39.75
28.10;52.75;38.26;47.25;38.26
28.20;57.00;38.13;43.00;38.13
28.30;61.25;38.25;38.75;38.25
28.40;65.25;37.52;34.75;37.52
28.50;69.25;37.93;30.75;37.93
28.60;73.25;43.67;26.75;43.67
28.70;77.25;36.30;22.75;36.30
28.80;73.58;36.83;26.42;36.83
28.90;69.92;43.90;30.08;43.90
29.00;66.25;38.19;33.75;38.19
29.10;62.58;33.04;37.42;33.04
29.20;58.92;39.83;41.08;39.83
29.30;55.25;33.53;44.75;33.53
29.40;58.58;28.23;41.42;28.23
29.50;61.92;33.06;38.08;33.06
29.60;65.25;28.53;34.75;28.53
29.70;68.58;27.99;31.42;27.99
29.80;71.92;34.30;28.08;34.30
29.90;75.25;27.58;24.75;27.58
30.00;70.00;26.73;30.00;26.73
30.10;64.75;34.11;35.25;34.11
30.20;59.50;33.85;40.50;33.85
30.30;54.25;34.05;45.75;34.05
30.40;59.50;41.89;40.50;41.89
30.50;64.75;34.25;35.25;34.25
30.60;70.00;35.42;30.00;35.42
30.70;75.25;43.42;24.75;43.42
30.80;70.25;43.62;29.75;43.62
30.90;65.25;49.26;34.75;49.26
31.00;60.25;50.04;39.75;50.04
31.10;55.25;48.54;44.75;48.54
31.20;59.00;53.44;41.00;53.44
31.30;62.75;57.42;37.25;57.42
31.40;66.50;50.68;33.50;50.68
31.50;70.25;54.84;29.75;54.84
31.60;66.25;55.41;33.75;55.41
31.70;62.25;50.66;37.75;50.66
31.80;58.25;56.88;41.75;56.88
31.90;54.25;52.46;45.75;52.46
32.00;50.25;51.42;49.75;51.42
32.10;56.00;50.82;44.00;50.82
32.20;61.75;45.13;38.25;45.13
